subcategory_id,function,category,coverage,confidence,review_status,source_file,page,similarity,quote,quote_verified,rationale
GV.OC-01,GOVERN,Organizational Context (GV.OC),none,0,reviewed,,,,,,[Auto-downgraded: the claimed coverage had no verifiable verbatim quote in the retrieved evidence.] The organization appears to link its mission to cybersecurity risk decisions through a formal annual review.
GV.OC-02,GOVERN,Organizational Context (GV.OC),substantial,0.52,reviewed,information-security-policy.md,,0.4382083607203491,"Risk Management

Cybersecurity risks are discussed at the monthly Security Committee meeting.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.OC-03,GOVERN,Organizational Context (GV.OC),none,0.3,reviewed,,,,,,The retrieved evidence does not demonstrate this outcome; relevant terms are absent or only incidental. Flagged for human review.
GV.OC-04,GOVERN,Organizational Context (GV.OC),partial,0.52,reviewed,information-security-policy.md,,0.4249103029204403,"Roles and Responsibilities

The following cybersecurity roles, responsibilities, and authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.OC-05,GOVERN,Organizational Context (GV.OC),partial,0.71,reviewed,information-security-policy.md,,0.5065172793517063,"Roles and Responsibilities

The following cybersecurity roles, responsibilities, and authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-01,GOVERN,Risk Management Strategy (GV.RM),partial,0.54,reviewed,information-security-policy.md,,0.33041357985378017,"Risk Management

Cybersecurity risks are discussed at the monthly Security Committee meeting.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-02,GOVERN,Risk Management Strategy (GV.RM),partial,0.54,reviewed,information-security-policy.md,,0.39374961466411973,"authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive leadership.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-03,GOVERN,Risk Management Strategy (GV.RM),partial,0.53,reviewed,information-security-policy.md,,0.32405946403741837,"Risk Management

Cybersecurity risks are discussed at the monthly Security Committee meeting.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-04,GOVERN,Risk Management Strategy (GV.RM),partial,0.52,reviewed,information-security-policy.md,,0.22990025112579637,"authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive leadership.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-05,GOVERN,Risk Management Strategy (GV.RM),partial,0.53,reviewed,information-security-policy.md,,0.3921467408618242,"authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive leadership.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-06,GOVERN,Risk Management Strategy (GV.RM),partial,0.53,reviewed,information-security-policy.md,,0.4003708757419475,"Information Security Policy

This Information Security Policy for managing cybersecurity risks is established
based on our organizational context and business priorities, and is approved by
the Chief Executive Officer.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RM-07,GOVERN,Risk Management Strategy (GV.RM),partial,0.53,reviewed,information-security-policy.md,,0.22242826536982174,"Information Security Policy

This Information Security Policy for managing cybersecurity risks is established
based on our organizational context and business priorities, and is approved by
the Chief Executive Officer.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RR-01,GOVERN,"Roles, Responsibilities, and Authorities (GV.RR)",partial,0.53,reviewed,information-security-policy.md,,0.3887965941645102,"authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive leadership.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RR-02,GOVERN,"Roles, Responsibilities, and Authorities (GV.RR)",full,0.85,reviewed,information-security-policy.md,,0.45749571546912193,"authorities are
established and communicated across the organization:

- The Chief Information Security Officer (CISO) is accountable for the
 cybersecurity program and reports quarterly to executive leadership.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RR-03,GOVERN,"Roles, Responsibilities, and Authorities (GV.RR)",partial,0.53,reviewed,information-security-policy.md,,0.40756956467206873,"Risk Management

Cybersecurity risks are discussed at the monthly Security Committee meeting.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.RR-04,GOVERN,"Roles, Responsibilities, and Authorities (GV.RR)",none,0.3,reviewed,,,,,,The retrieved evidence does not demonstrate this outcome; relevant terms are absent or only incidental. Flagged for human review.
GV.PO-01,GOVERN,Policy (GV.PO),full,0.85,reviewed,information-security-policy.md,,0.5599496495250793,"Information Security Policy

This Information Security Policy for managing cybersecurity risks is established
based on our organizational context and business priorities, and is approved by
the Chief Executive Officer.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
GV.PO-02,GOVERN,Policy (GV.PO),substantial,0.72,reviewed,information-security-policy.md,,0.4912027442948157,"Information Security Policy

This Information Security Policy for managing cybersecurity risks is established
based on our organizational context and business priorities, and is approved by
the Chief Executive Officer.",yes,"The evidence in ""information-security-policy.md"" shows the outcome is at least partly achieved in operation (lexical overlap with the outcome statement). A human should confirm scope and completeness."
